Before,During,After
initially,live_session,culmination
incipience,performing,ongoing_impact
infancy,moment,spillover
instigator,midway,consequent
birth,conduction,sunset
initial,working,log
instigator,happening_now,moving_forward
beforehand,staging,ensuing
obsolete,tenure,proceeding
preamble,in-course,concluding
kickoff,pending,residual
onset_phase,interval,retire
precursory,being_done,residual
vacated,transitioning,future_state
presage,flowing,record
inceptive,simulcast,eventually
inauguration,execution,postscript
prelude,amid,finalized
threshold,progressing,subsequently
preceding,carrying_out,new_start
instructive,actuality,succeeding
emergence,covering,future
foretime,instantly,windup
activate,operation_time,consequent
arising,just_now,consequent
before,conduction,recovery
birth,as,retire
warning,coinciding,complete
emergence,actuality,retrospect
initiation,rolling,achievement
start_point,circumstance,hindsight
discarded,timely,realized
activate,performing,finalized
birth,happening_now,proceeding
entry_point,intervening,henceforth
earliest_times,commanding,eventually
originator,just_in,conclusion
initiative,just_now,spillover
old,taking_effect,renewed
retired,inside_time,fate
old,middle_of,sequel
entry_point,daytime,finalized
earliest_times,throughout,learning
opener,ongoing,postscript
intro,amidst,moving_forward
initial,evolving_phase,ultimately
founded,live_session,conclusion
beginning,performing,outlook
first,current_event,ultimately
catalyst,instantaneous,stepping_up
portent,present_time,legacy_phase
yesteryear,passage,delivered
yesteryear,transitioning,post
opener,real_time,established
in_the_past,temporal,sunset
setoff,execution,spillover
infancy,circumstance,evaluation
initiate,interstitial,outcome
old,at_the_same_time,finished_up
preceeding,in_between_time,renewed
scaffold,performing,log
trailblazer,passage,retrospect
precursor,pending,prognosis
preliminary,ongoing_task,delivered
initially,in_between_time,ongoing_impact
intro,simulcast,denouement
beginning,ongoing_process,next
inceptive,actuality,culmination
vacated,transpiring,wrap_up
arising,middle_of,retrospective
beginning,incident,stabilized
prelude,advance_in_progress,rear
prologue,in_between,achieved
foregoing,throughout,rear
inauguration,happens_to_be,follow_on
past,in_motion,posterior
trailblazer,live_session,direction
old,throughout,as_a_result
outdated,daytime,eventually
herald,intervening,end_phase
upfront,interstitial,final_phase
opening,going_on,end_phase
ancestral,middle_of,summary
dawn,taking_place,trace
first_step,ongoing_task,wrap_up_event
ante,operational,set_path
foreboding,midst,new_phase
origin,functioning,carryover
spearhead,segment,progressed
early_days,continuing,henceforth
presage,operation_time,subsequently
ignite,intervening,future_state
before_times,interval,epilogue
forephase,ongoing_moment,spillover
commencement,coinciding,post_reflection
initiate,ongoing_phase,backstory
presage,midst,outcome
instructive,ongoing_task,gained
presage,midway,afters
introductory,engagement,resulting
advance,flowing,henceforth
headway,acting_out,refined
start,incident,output
kickoff,happening_now,coda
inauguration,operation_time,recovery
foreword,in_motion,henceforth
begin,happening,repercussion
headstart,intervening,reformed
prior_to,current_event,established
dawn,performing,henceforth
instructive,underway,enclosure
already,live_phase,learning
onset_phase,in-course,effect
once,simulcast,afters
opening,happening,renewed
origin,live_phase,achieved
pathfinder,ongoing_task,thereafter
trailblazer,while,exit
dawn,subsequent_to_start,end_phase
upfront,in-course,final_phase
formerly,in_real_time,finale
aforetime,moment,close
introductory,instantly,report
previously,interim,repercussion
presage,intervening,following
ancestral,pending,transformed
beforehand,concurrent,output
herald,intermission,report
scaffold,unfolding,wrap
germinal,amid,recounted
flint,evolving_phase,retrospect
dawn,taking_effect,gained
scaffold,processing,delivered
deceased,occupying,archive
set_in_motion,advance_in_progress,culmination
set_in_motion,instantaneous,report
intro,acting_out,tail_end
prologue,actuality,chronicle
infancy,operating,post
nascent,happening,memory
prelude_to,elapsed,in_the_end
incipience,subsequent_to_start,repercussion
threshold,elapsed,epilogue
before,realizing,chronicle
forerunner,performing,final_act
prelude,mid-phase,carryover
beforehand,execution_phase,follow_through
forephase,operation_time,windup
originator,in_the_now,concluding
initial,timely,solidified
relinquished,in_frame,resulting
incipience,realizing,concluding
relinquished,in_between_time,achieved
momentum,ongoing_phase,lookback
initially,happening,built
initial_phase,co-occurring,future_state
flint,going_on,eventually
startup,passage,enclosure
pioneering,duration,backstory
momentum,working_on,carryover
abandoned,relevant_time,residue
old,ongoing_phase,spillover
commencement,flowing,eventually
yesteryear,current,therefrom
outdated,at_the_same_time,residual
instigator,in_between_time,postscript
early_days,active,assessment
earlier,segment,direction
foretime,tenure,learning
set_in_motion,throughout,expiry
upfront,maintained,tail_end
run-up,in_frame,after
first_step,ongoing_task,in_the_end
alarm,ongoing_process,rear
precursor,covering,stepping_up
startup,instantly,ongoing_impact
archaic,moment,delivered
forerunner,right_now,resolved
preparation,timely,solidified
onset,rolling,consequent
first_step,in_parallel,follow_through
foreword,interstitial,recounted
incipience,simultaneously,record
preamble,middle_of,achievement
preamble,as,residual
previously,middle_time,output
prelude_to,concurrently,wrap
entry_point,evolving_phase,achievement
prior,duration,resolution
beginning,live_session,backstory
initial_phase,present_time,fate
set_in_motion,simultaneously,culmination
ignite,mid-phase,effect
previously,in_parallel,subsequently
scaffold,carrying_out,renewed
deceased,just_in,improved
announced,mid-phase,built
incipient,unfolding,lookback
instigator,unfolding,tail_end
early_days,happens_to_be,finished_up
incipience,operational,outcome
foreword,right_now,realized
relinquished,interim,assessment
first_time,realizing,consequently
precursor,just_now,insight
early_days,concurrently,carryover
earliest,taking_effect,ensuing
preceeding,middle_of,spillover
precursory,temporal_flow,residue
opener,in_between,consequently
launchpad,subsequent_to_start,after
set_out,acting,proceeding
commencement,temporal,eventually
previously,mid-action,follow_through
foretime,temporal_flow,gained
earliest,throughout,progressed
instructive,still_happening,residue
intro,carrying_out,concluding
start,interim,residual
proactive,commanding,reformed
introductory,occupying,exit
start,span,trace
nascent,inside_time,after
founded,live_session,consequences
scaffold,mid-action,summary
preexistence,operating,retire
spearhead,circumstance,direction
prelude_to,pending,record
pioneering,in-course,report
spark,happening,report
formerly,interim,hindsight
founded,dynamically,established
spark,ongoing_task,ensuing
in_advance,transpiring,final_act
beginning,operating,record
departed,simulcast,finally
predating,execution,achieved
preceding,in_frame,reformed
pathfinder,progressing,summary
prologue,continuing,concluding
original,working,ending
forerunner,live_phase,retrospect
scaffold,middle_of,finale
previous,current_event,delivered
intro,daytime,wrap_up
past,in_the_zone,epilogue
incipience,in-course,trace
departed,engaged,residual
departed,while,succeeding
launchpad,nonstop,report
foreword,in_real_time,memory
start_point,interval,new_phase
commencement,nonstop,stepping_up
time_before,pending,backstory
already,momentary,recovery
beginning,at_the_same_time,moving_forward
launchpad,evolving,resolution
preceding,ongoing_phase,succeeding
initially,rolling_phase,windup
preceeding,amid,carryover
founded,execution,wrap_up
precursory,amidst,hindsight
set_in_motion,passage,rear
preexistence,working_on,summary
prelude_to,real_time,thereafter
bygone,performing,established
catalyst,co-occurring,enclosure
announced,transpiring,legacy_phase
opener,still_happening,consequently
beginning,in_real_time,rear
start_point,in_parallel,follow_through
original,timely,sequel
already,during,henceforth
proactive,interval,future_state
leading_up,concurrent,prognosis
origin,actuality,improved
erstwhile,coinciding,later
in_advance,execution,consequent
dawn,in_the_zone,carryover
previous,committed,backstory
introduction,middle_of,finalized
deceased,midst,stepping_up
origin,at_the_same_time,expiry
vacated,active,in_the_end
initial_phase,progressing,insight
previous,transpiring,legacy
in_the_past,in_between_time,tail_end
erstwhile,throughout,refined
initiation,co-occurring,insight
trigger,continuously,outlook
foreboding,flowing,ensue
foreword,just_in,end_phase
origin,commanding,close
prior,continuously,transformed
catalyst,right_now,improved
set_in_motion,happening_now,fulfillment
prelude,execution,archive
founded,processing,fate
founded,intermission,finale
erstwhile,interim,carryover
prior_to,coinciding,finally
yesteryear,during,next
forerunner,conduction,conclusion
ahead_of,course_of,consequent
preexistent,middle_time,chronicle
vacated,circumstance,concluding
flint,continuing,posterior
groundwork,just_now,expiry
catalyst,period,succeeding
time_before,midst,next
sooner,ongoing_phase,established
preceding,real_time,future
headway,meantime,record
archaic,segment,reflection
inauguration,acting,hindsight
entry_point,engaged,afterward
upfront,staging,prognosis
set_out,advance_in_progress,post_phase
